Name,mCitrine/Ypet,mCitrine/Ypet,mPlum,mPlum,mTFP1,mTFP1,mTagBFP,mTagBFP,tdTomato,tdTomato
Spectrum Type,Ab,Em,Ab,Em,Ab,Em,Ab,Em,Ab,Em
Quantum Yield,,,,,,,,,,
Extinction Coefficient,,,,,,,,,,
583,0.000993282,0.175553969,0.965505749,,0.007819637,0.03778,,0.014913123,0.125773005,0.995741753
584,0.001003605,0.167348644,0.973701005,0.052448721,0.007591288,0.036,,0.014361077,0.108532288,0.988220321
585,0.00140926,0.160918487,0.989263102,0.058879275,0.007591288,0.03418,,0.0136793,0.095701203,0.978846213
586,0.001140346,0.154255242,0.994410691,0.066727491,0.007591288,0.03243,,0.01320907,0.083671358,0.969760394
587,0.001574873,0.147513033,1.001188067,0.074070409,0.007591288,0.03072,,0.012766736,0.07224297,0.960040264
588,0.002276862,0.141776231,0.999755833,0.08544955,0.007591288,0.02891,,0.012298218,0.062144132,0.945720011
589,0.001458427,0.135241247,0.999058492,0.095329906,0.007591288,0.02819,,0.011744085,0.054796266,0.933755368
590,0.001611156,0.130321859,0.99980687,0.105709181,0.007591288,0.02699,,0.011266032,0.047689382,0.924918241
591,0.001705342,0.124057377,0.992143084,0.117083755,0.007591288,0.02537,,0.010784427,0.040961114,0.909501082
592,0.00169836,0.119218989,0.986590459,0.129090423,0.007591288,0.02447,,0.010532197,0.035668198,0.895793009
593,0.001823055,0.114001728,0.974675281,0.14504777,0.007591288,0.02358,,0.010183093,0.030909793,0.882349985
